03-8012;DJPS;;"Koppeling rvs 1"" nr. 340";7.70;;;;;;;;;;;
03-8013;DJPS;;"Koppeling rvs 1"" nr. 341";9.00;;;;;;;;;;;
03-8014;DJPS;;"Koppeling rvs 1"" nr. 341";9.60;;;;;;;;;;;
03-8015;DJPS;;"Koppeling rvs 1.1/4"" nr. 340";12.80;;;;;;;;;;;
03-8016;DJPS;;"Koppeling rvs 1/2"" nr. 340";4.60;;;;;;;;;;;
03-8017;DJPS;;"Koppeling rvs 1/2"" nr. 340";4.60;;;;;;;;;;;
03-8018;DJPS;;"Koppeling rvs 1/2"" nr. 341";6.00;;;;;;;;;;;
03-8019;DJPS;;"Koppeling rvs 1/2"" nr. 98";7.00;;;;;;;;;;;
03-8020;DJPS;;"Koppeling rvs 3/4"" nr. 98";8.00;;;;;;;;;;;
03-8021;DJPS;;"Nippel rvs 1"" nr. 280";2.50;;;;;;;;;;;
03-8022;DJPS;;"Nippel rvs 1"" nr. 280";2.60;;;;;;;;;;;
03-8023;DJPS;;"Nippel rvs 1.1/4"" nr. 280";3.90;;;;;;;;;;;
03-8024;DJPS;;"Nippel rvs 1/2"" nr. 280";3.40;;;;;;;;;;;
03-8025;DJPS;;"Nippel rvs 3/4"" nr. 280";2.20;;;;;;;;;;;
03-8026;DJPS;;"Nippel rvs 3/4"" nr. 280";2.20;;;;;;;;;;;
03-8027;DJPS;;"T-stuk rvs 1"" nr. 130";4.40;;;;;;;;;;;
03-8028;DJPS;;"Verloopnippel rvs 1.1/4""x1"" nr. 245";5.00;;;;;;;;;;;
03-8029;DJPS;;"Verloopring rvs 1""x1/2"" ";3.00;;;;;;;;;;;
03-8030;DJPS;;"Verloopring rvs 1""x3/4""";3.00;;;;;;;;;;;
03-8031;DJPS;;"Verloopring rvs 3/4""x1/2"" nr. 241";2.30;;;;;;;;;;;
03-8032;Zwets;26.RV.247;"Plug rvs .3/8"" nr. 290";0.87;;;;;;;;;;;
03-8033;Zwets;26.RV.205;"Sok rvs .3/8"" nr. 270";1.37;;;;;;;;;;;
03-8034;Zwets;26.RV.211;"Sok rvs 2"" nr. 270";11.14;;;;;;;;;;;
03-8035;Zwets;26.RV.204;"Sok rvs .1/4"" nr. 270";1.19;;;;;;;;;;;
03-8036;Zwets;26.RV.206;"Sok rvs .1/2"" nr. 270";2.01;;;;;;;;;;;
03-8037;Zwets;26.RV.248;"Plug rvs .1/2"" nr. 290";1.11;;;;;;;;;;;
03-8038;Hilto;"32-7446-1.1/4"" ";"Kogelkraan rvs 1.1/4"" 3-delig 2-weg Econ";43.50;;;;;;;;;;;
03-8039;Hilto;"32-7752-BSP 1.1/4"" ";"Kogelkraan rvs 1.1/4"" Econ";39.95;;;;;;;;;;;
03-8040;DJPS;;"Kogelkraan rvs 1"" 2-delig";32.40;;;33,00;;;;;;;;
03-8041;DJPS;;"Kogelkraan rvs 1/2"" 2-delig";14.85;;;;;;;;;;;
03-8042;DJPS;;"Kogelkraan rvs 3/4"" 2-delig";21.60;;;;;;;;;;;
03-8043;Hilto;"03-090R-2""";"Knie rvs 2"" 316 bi-bi";20.87;;;;;;;;;;;
03-8044;Hilto;"03-092R-2""";"Knie rvs 2"" 316 bi-bu";19.21;;;;;;;;;;;
03-8045;Hilto;"03-92R-1.1/4"" ";"Knie rvs 1.1/4"" 316 bi-bu";9.88;;;;;;;;;;;
03-8046;Hilto;"03-241R-2""x1.1/4""";"Verloopring rvs 316 2""x1.1/4"" ";9.95;;;;;;;;;;;
03-8047;Hilto;"27-ANSI-4""x2"" 316 S10";"Lasfitting rvs 316L 4""x2"" ";17.44;;;;;;;;;;;
04-1001;Hilto;"17-2566-PN16 2"" VERZ";"Draadflens verz. 2"" PN16";45.56;;;;;;;;;;;
04-2001;Kieboom;;"T-stuk verz. 1/4"" ";2.80;;;;;;;;;;;
04-4001;ODS;;Plaat sendzimir verzinkt 3000x1500x2 mm;56.50;;;;;;;;;;;
04-6001;Heus;;Roostertrede verz. 700x1000 H:30 MW: 33 S235JR;44.46;;;;;;;;;;;
04-6002;Heus;;Roostertrede verz. 400x1000 H:30 MW: 33 S235JR;28.79;;;;;;;;;;;
04-6003;Heus;;Roostertrede  verz. 1000x240 H:30 MW: 33 S235JR;16.81;;;;;;;;;;;
04-6004;Heus;;Roostertrede verz. 800x1500 mm S235JR;78.00;;;;;;;;;;;
04-6005;Heus;;Roostertrede verz. 800x240 mm H:30 MW:33 ;16.10;;;;;;;;;;;
04-6006;Heus;;Roostertrede verz. 500x1000 mm H:30 MW: 33;35.98;;;;;;;;;;;
04-8001;Hilto;"05-023V-2""x100";"Pijpnippel verz. 2""";4.57;;;;;;;;;;;
04-8002;Zwets;26.IH.MF.M220;"Verloopnippel verz. 1""-.3/4"" nr. 245";1.66;;;;;;;;;;;
04-8003;Kieboom;;"Verloopnippel verz. 3/8""x1/4"" nr. 245";3.36;;;;;;;;;;;
04-8004;Kieboom;;"Dubbelnippel verz. 1/4"" nr. 280";2.24;;;;;;;;;;;
05-1001;ODS;911400953;Flens lasflens vlak alu 316L;28.71;;;;;;;;;;;
05-4001;ODS;913000160;Plaat alu 3000x1500x3 mm folie;533,33;;;plaat;;;;;;;;
05-4002;ODS;913000155;Plaat alu 2000x1000x3 mm;39.04;;;;;;;;;;;
05-4003;ODS;913000166;Plaat alu 2000x1000x4 mm eenzijdig folie;55.52;;;;;;;;;;;
05-5001;ODS;911100807;Platstaf alu 60x8 mm;59.64;;;lgt;;;;;;;;
05-5002;ODS;904100291;Hoekstaal alu 50x50x5 mm;19.57;;;lgt;;;;;;;;
05-5003;ODS;904100245;Hoekstaal alu 30x30x4 mm;8.34;;;lgt;;;;;;;;
05-5004;ODS;913200221;Koker alu 50x50x2 mm geextrudeerd;23.88;;;lgt;;;;;;;;
05-5005;ODS;913000116;Plaat alu 3000x1500x1 mm;28.80;;;;;;;;;;;
05-5006;Wensveen;;Koker alu 50x50x4 mm;35.00;;;lgt. 3 m.;;;;;;;;
06-0001;Ankro;;Pakking ring Ø 125 mm PTFE;18.35;;;;;;;;;;;
06-0002;Ankro;;Pakking ring Ø 201,2 mm PTFE;41.95;;;;;;;;;;;
06-0003;Ankro;;Pakking ring Ø 171,4 mm PFTE;28.15;;;;;;;;;;;
06-0004;SAB;;Pakking DN100;2.22;;;;;;;;;;;
06-0005;SAB;;Pakking DN100 enveloppakking;6.10;;;;;;;;;;;
06-0006;SAB;;Pakking DN100 JOJO;13.00;;;;;;;;;;;
06-0007;SAB;;Pakking DN150;2.31;;;;;;;;;;;
06-0008;SAB;;Pakking DN150 dekselpakking JOJO;31.20;;;;;;;;;;;
06-0009;SAB;;Pakking DN200;3.86;;;;;;;;;;;
06-0010;SAB;;Pakking DN250 dekselpakking JOJO;8.05;;;;;;;;;;;
06-0011;SAB;;Pakking DN250 JOJO;16.00;;;;;;;;;;;
06-0012;Pinta;;Rubberband EPDM 30x20 mm (prijs = per meter);12.02;;;;;;;;;;;
06-0013;Pinta;;Pakkingringen JoJo DN200;8.75;;;;;;;;;;;
06-0014;DJPS;;Pakking dekselpakking Treade DN200;28.40;;;;;;;;;;;
06-0015;Zwets;001.PP.0010;Pakking pomphuispakking 220x270x0,5 mm;11.88;;;;;;;;;;;
06-0016;Zwets;001.SS.0008;Sealset mechanical type 31 35 mm ;279.94;;;;;;;;;;;
06-0017;Pinta;;"Pakking 3"" ? 100x85 mm";2.75;;;;;;;;;;;
06-0018;Pinta;;"Pakking 4""";3.10;;;;;;;;;;;
06-0019;Pinta;;"Pakking 5""";4.55;;;;;;;;;;;
06-0020;Pinta;;"Pakking 3""";0.65;;;;;;;;;;;
06-0021;Pinta;;"Pakking 2,5""";0.59;;;;;;;;;;;
07-1001;Verhoeven;E1302926;Schijf 125 mm afbraamschijf Flexovit;2,03;;;;;;;;;;;
07-1002;Verhoeven;E1302927;Schijf 125 mm doorslijpschijf Flexovit;1,26;;;;;;;;;;;
07-1003;Laspartners;15488;Schijf fiberschijf CC-FS 125;2,11;;;;;;;;;;;
07-1004;Laspartners;15501;Schijf fiberschijf CC-FS 125;2,43;;;;;;;;;;;
07-1005;Verhoeven;E1302924;Schijf lamellenschijf 125 K120 Flexovit;2,48;;;;;;;;;;;
07-1006;Verhoeven;E1302922;Schijf lamellenschijf 125 K40 Flexovit;2,48;;;;;;;;;;;
07-1007;Verhoeven;E1302923;Schijf lamellenschijf 125 K80 Flexovit;2,48;;;;;;;;;;;
07-1008;Verhoeven;94790;Schijf lamellenschijf RCD/ME/125;15,00;;;;;;;;;;;
07-1009;Laspartners;15562;Schijf steunschijf CC-GT 115-125 M14;20,69;;;;;;;;;;;
07-1010;Brammer;;Schijf doorslijpschijf 230x1,9x22,2 A36V/ML/41 FL DSS;2.68;;;;;;;;;;;
07-1011;Verhoeven;4014855089550;Moprad schl NCW600 K80100x100x19;23.10;;;;;;;;;;;
07-1012;Verhoeven;E1312536;Tape Inox Mhit 5000x40 mm;53.73;;;rol;;;;;;;;
07-1013;Verhoeven;E1312538;Schijf Klitsteunschijf 125 mm M14;18.12;;;;;;;;;;;
07-1014;Verhoeven;E1312540;Foam tussenfoam hittebestendig 125IT;17.13;;;;;;;;;;;
07-1015;Verhoeven;E1312542;Schijf Klitschijf keramisch 125 mm K100;12.85;;;;;;;;;;;
07-1016;Verhoeven;E1312543;Schijf Klitschijf Trizact 125 mm A160;15.95;;;;;;;;;;;
07-1017;Verhoeven;E1312544;Schijf Klitschijf Trizact 125 mm A65;15.95;;;;;;;;;;;
07-1018;Verhoeven;E1312545;Schijf Klitschijf Trizact 125 mm A45;15.95;;;;;;;;;;;
07-2001;Biermans;1513773;Gatzaag houder 32-210 mm A2x6K Kelfort;12,04;;;;;;;;;;;
07-2002;Biermans;1513720;Gatzaag 40x32 mm rood Hss Bi-metal Kelfort;7,78;;;;;;;;;;;
07-2003;Verhoeven;E1304070;Boor Euroboor support Deck Body 03;34.60;;;;;;;;;;;
07-2004;Biermans;1671614;Kernboor o14x25 mm hss Weldon;12.90;;;;;;;;;;;
07-2005;Verhoeven;E1304069;Boor Euroboor support Deck Plate 02;8.12;;;;;;;;;;;
07-2006;Verhoeven;E1304687;Boor 11.450.0350;0.91;;;;;;;;;;;
07-2007;Verhoeven;E1304686;Boor 11.450.0400;0.95;;;;;;;;;;;
07-2008;Verhoeven;E1304685;Boor 11.450.0450;1.06;;;;;;;;;;;
07-2009;Verhoeven;E1304682;Boor 11.450.0550;1.36;;;;;;;;;;;
07-2010;Verhoeven;E1304689;Boor 11.450.0600;1.51;;;;;;;;;;;
07-2011;Verhoeven;E1304684;Boor 11.450.0800;2.68;;;;;;;;;;;
07-2012;Verhoeven;E1304690;Boor 11.450.1020;5.68;;;;;;;;;;;
07-2013;Verhoeven;E1304691;Boor 11.450.1050;4.61;;;;;;;;;;;
07-2014;Verhoeven;E1304692;Boor 11.450.1100;4.73;;;;;;;;;;;
07-2015;Verhoeven;E1304683;Boor 11.450.1200;6.24;;;;;;;;;;;
07-2016;Verhoeven;E1304693;Boor 11.450.1250;6.61;;;;;;;;;;;
07-2017;Verhoeven;E1304688;Boor 11.450.1300;6.86;;;;;;;;;;;
07-2018;Verhoeven;E1306666;Boor plaatwerkboor 5,1 mm PH HSS-CO;1.69;;;;;;;;;;;
07-2019;Biermans;739220;Gatzaag 54x32 mm rood Hss Bi-metal Kelfort;10.94;;;;;;;;;;;
07-2020;Biermans;1513140;Boor 4.0x75;2.21;;;;;;;;;;;
07-2021;Biermans;1513772;Gatzaag houder 14-30 mm A1x6K 14 Kelfort;7.24;;;;;;;;;;;
07-2022;Biermans;1513707;Gatzaag 22x32 mm rood Hss Bi-metal Kelfort;6.31;;;;;;;;;;;
07-2023;Biermans;1671722;Kernboor o22x50 mm lang hss Phantom;29.62;;;;;;;;;;;
07-2024;Biermans;1514865;Boor 6.5x101;1.88;;;;;;;;;;;
07-2025;Kieboom;;Gatzaag 29 mm hss;7.32;;;;;;;;;;;
07-2026;Verhoeven;4210508160;Boor spiraalboor 6 mm;1.50;;;;;;;;;;;
07-2027;Verhoeven;4210508235;Boor spiraalboor 8,5 mm;3.19;;;;;;;;;;;
07-2028;Verhoeven;4210508286;Boor spiraalboor 10,5 mm;5.43;;;;;;;;;;;
07-2029;Kieboom;;Gatzaag 32 mm;7.46;;;;;;;;;;;
07-2030;Kieboom;;Gatzaag 48 mm;9.60;;;;;;;;;;;
07-3001;Laspartners;10669;Contacttip 1.0 mm M8 lang Kemppi;0.94;;;;;;;;;;;
07-3002;Laspartners;10989;Contacttip 1.2 mm alu M8 lang Kemppi;0.94;;;;;;;;;;;
07-3003;Laspartners;19451;Electrodes Conarc 55 CT 3.2x350  120 st/4,5 kg;0.18;;;;;;;;;;;
07-3004;Laspartners;14062;Electrodes LIMAROSTA 309 S 3.2x350 135 st/4,9 kg;1.12;;;;;;;;;;;
07-3005;Laspartners;14070;Electrodes LIMAROSTA 316 L 3.2x350 135 st/4,8 kg;1.07;;;;;;;;;;;
